fkey|symbol|name|board|stock_code|52_week_high|52_week_low|open|high|low|last|chg|chg_pct|Vol_00|buy_Vol_00|sell_Vol_00|update|logdate
0|ADVENTA|ADVENTA BHD|Main|7191|0.625|0.35|0.370|0.370|0.350|0.35|-0.01|-2.78|0.355 / 200|0.355 / 200|0.355 / 200|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|AHEALTH|APEX HEALTHCARE BHD|Main|7090|8.87|4.9|8.700|8.800|8.650|8.8|0.2|2.33|8.630 / 5|8.630 / 5|8.630 / 5|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|CCMDBIO|CCM DUOPHARMA BIOTECH BHD|Main|7148|3.43|0.925|1.160|1.160|1.120|1.13|-0.03|-2.59|1.130 / 91|1.130 / 91|1.130 / 91|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|HARTA|HARTALEGA HOLDINGS BHD|Main|5168|11.88|4.92|5.380|5.380|5.210|5.25|-0.13|-2.42|5.240 / 10|5.240 / 10|5.240 / 10|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|IHH|IHH HEALTHCARE BERHAD|Main|5225|6.42|4.54|5.750|5.800|5.690|5.8|0.01|0.17|5.800 / 1380|5.800 / 1380|5.800 / 1380|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|KOSSAN|KOSSAN RUBBER INDUSTRIES BHD|Main|7153|8.96|3.57|4.050|4.050|3.970|4.01|-0.04|-0.99|4.010 / 50|4.010 / 50|4.010 / 50|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|KOTRA|KOTRA INDUSTRIES BHD|Main|0002|1.9|1.6|1.700|1.750|1.700|1.75|-0.04|-2.23|1.750 / 20|1.750 / 20|1.750 / 20|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|KPJ|KPJ HEALTHCARE BHD|Main|5878|1.17|0.84|1.070|1.070|1.060|1.07|0.0|0.0|1.060 / 12913|1.060 / 12913|1.060 / 12913|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|PHARMA|PHARMANIAGA BHD|Main|7081|4.3|2.5|2.700|2.700|2.500|2.61|-0.15|-5.43|2.600 / 80|2.600 / 80|2.600 / 80|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|SUPERMX|SUPERMAX CORPORATION BHD|Main|7106|4.61|1.43|1.670|1.670|1.600|1.61|-0.06|-3.59|1.610 / 4811|1.610 / 4811|1.610 / 4811|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|TMCLIFE|TMC LIFE SCIENCES BHD|Main|0101|0.845|0.695|0.730|0.730|0.730|0.73|0.0|0.0|0.725 / 2813|0.725 / 2813|0.725 / 2813|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|TMCLIFE-WB|TMC LIFE SCIENCES BERHAD WARRANTS B|Main|0101WB|0.19|0.025|0.025|0.030|0.025|0.03|0.0|0.0|0.020 / 21020|0.020 / 21020|0.020 / 21020|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|TOPGLOV|TOP GLOVE CORPORATION BHD|Main|7113|12.48|4.61|5.100|5.110|4.780|4.83|-0.27|-5.29|4.820 / 694|4.820 / 694|4.820 / 694|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
0|YSPSAH|Y.S.P.SOUTHEAST ASIA HOLDING|Main|7178|3.39|2.33|2.900|2.900|2.900|2.9|0.02|0.69|2.850 / 3|2.850 / 3|2.850 / 3|22 Feb 2019 7:11 PM|2019-02-24 00:40:36
